Type,location,longitude,latitude
Old,"37.1799517,-3.602837",-3.602837,37.1799517
Old,"37.1745585,-3.5958334",-3.5958334,37.1745585
Old,"37.1757398,-3.5947334",-3.5947334,37.1757398
Old,"37.173379,-3.5906467",-3.5906467,37.173379
Old,"37.1732892,-3.5926637",-3.5926637,37.1732892
Old,"37.1733622,-3.5909039",-3.5909039,37.1733622
Old,"37.1789668,-3.6017065",-3.6017065,37.1789668
New,"37.1766125,-3.5962566",-3.5962566,37.1766125
Old,"37.1771575,-3.5949493",-3.5949493,37.1771575
New,"37.1834953,-3.6019029",-3.6019029,37.1834953
New,"37.1836786,-3.6035029",-3.6035029,37.1836786
Old,"37.17892,-3.594196",-3.594196,37.17892
New,"37.1786697,-3.5943512",-3.5943512,37.1786697
Fountain,"37.178093,-3.5961573",-3.5961573,37.178093
New,"37.1788511,-3.5961704",-3.5961704,37.1788511
Old,"37.179547,-3.5941899",-3.5941899,37.179547
Old,"37.1795732,-3.5915127",-3.5915127,37.1795732
Old,"37.1786086,-3.5940736",-3.5940736,37.1786086
Old,"37.1766603,-3.5995902",-3.5995902,37.1766603
Old,"37.1785196,-3.592426",-3.592426,37.1785196
